Disease,weight_gain,blackheads,loss_of_balance,coma,runny_nose,diarrhoea,slurred_speech,redness_of_eyes,chills,blurred_and_distorted_vision,visual_disturbances,abnormal_menstruation,blister,red_sore_around_nose,silver_like_dusting,receiving_blood_transfusion,continuous_feel_of_urine,swelling_of_stomach,sunken_eyes,cough,dark_urine,headache,burning_micturition,obesity,toxic_look_(typhos),dischromic _patches,scurring,restlessness,swelled_lymph_nodes,itching,spotting_ urination,irritation_in_anus,stiff_neck,muscle_wasting,dizziness,belly_pain,loss_of_appetite,family_history,pus_filled_pimples,continuous_sneezing,passage_of_gases,neck_pain,lethargy,breathlessness,yellow_crust_ooze,skin_peeling,mucoid_sputum,weakness_in_limbs,irritability,depression,polyuria,unsteadiness,swollen_legs,joint_pain,muscle_weakness,brittle_nails,cold_hands_and_feets,history_of_alcohol_consumption,puffy_face_and_eyes,bladder_discomfort,high_fever,mild_fever,vomiting,fluid_overload,yellowing_of_eyes,muscle_pain,bruising,pain_in_anal_region,irregular_sugar_level,hip_joint_pain,inflammatory_nails,enlarged_thyroid,swollen_extremeties,yellowish_skin,fast_heart_rate,palpitations,phlegm,bloody_stool,sweating,receiving_unsterile_injections,pain_during_bowel_movements,blood_in_sputum,loss_of_smell,constipation,fatigue,skin_rash,weight_loss,acute_liver_failure,nodal_skin_eruptions,congestion,throat_irritation,swollen_blood_vessels,lack_of_concentration,stomach_pain,watering_from_eyes,red_spots_over_body,ulcers_on_tongue,movement_stiffness,yellow_urine,mood_swings,foul_smell_of urine,rusty_sputum,increased_appetite,indigestion,malaise,pain_behind_the_eyes,abdominal_pain,anxiety,excessive_hunger,acidity,back_pain,dehydration,painful_walking,knee_pain,shivering,spinning_movements,distention_of_abdomen,nausea,drying_and_tingling_lips,patches_in_throat,internal_itching,weakness_of_one_body_side,stomach_bleeding,sinus_pressure,small_dents_in_nails,extra_marital_contacts,altered_sensorium,swelling_joints,prominent_veins_on_calf,cramps,chest_pain
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,dischromic _patches,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin_rash,,,nodal_skin_eruptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,shivering,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,shivering,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,shivering,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shivering,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,shivering,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,watering_from_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
